trt_imdb_score,trt_duration,trt_language,country,trt_content_rating,trt_aspect_ratio,trt_genre
5,longa_metragem,english,USA,R,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Drama
6-7,longa_metragem,english,Canada,R,Anamorphic Projection,Adventure
6-7,longa_metragem,english,USA,PG-13,American Widescreen,Comedy
6-7,longa_metragem,english,USA,R,American Widescreen,Comedy
6-7,longa_metragem,english,Germany,R,Anamorphic Projection,Action
5,longa_metragem,english,USA,PG-13,American Widescreen,Action
5,longa_metragem,english,USA,R,American Widescreen,Action
6-7,longa_metragem,english,USA,PG-13,American Widescreen,Comedy
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Crime
5,longa_metragem,english,USA,R,Anamorphic Projection,Action
6-7,longa_metragem,english,Germany,R,Anamorphic Projection,Action
5,longa_metragem,english,UK,R,Anamorphic Projection,Comedy
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Crime
<4,longa_metragem,english,USA,R,Anamorphic Projection,Action
<4,longa_metragem,english,USA,PG,American Widescreen,Action
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Adventure
6-7,longa_metragem,english,USA,PG-13,American Widescreen,Comedy
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Drama
<4,longa_metragem,english,USA,R,American Widescreen,Comedy
<4,longa_metragem,english,USA,PG,Anamorphic Projection,Comedy
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Drama
6-7,longa_metragem,english,USA,R,American Widescreen,Crime
6-7,longa_metragem,english,France,R,American Widescreen,Action
6-7,longa_metragem,english,UK,R,Anamorphic Projection,Crime
5,longa_metragem,english,USA,R,American Widescreen,Comedy
5,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,Germany,R,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Action
5,longa_metragem,english,USA,R,Anamorphic Projection,Action
8-10,longa_metragem,english,USA,PG,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Adventure
6-7,longa_metragem,english,USA,R,American Widescreen,Action
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Crime
5,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,R,American Widescreen,Crime
5,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,France,R,Anamorphic Projection,Adventure
5,longa_metragem,english,USA,R,Anamorphic Projection,Adventure
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Drama
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Crime
5,longa_metragem,english,USA,PG,American Widescreen,Adventure
5,longa_metragem,english,USA,R,Anamorphic Projection,Drama
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Biography
6-7,longa_metragem,english,France,R,Anamorphic Projection,Action
5,longa_metragem,english,USA,R,American Widescreen,Crime
5,longa_metragem,english,USA,R,American Widescreen,Action
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Drama
6-7,longa_metragem,english,UK,R,American Widescreen,Comedy
<4,longa_metragem,english,USA,PG-13,Anamorphic Projection,Comedy
<4,longa_metragem,english,USA,PG-13,Anamorphic Projection,Comedy
5,longa_metragem,english,USA,R,American Widescreen,Comedy
5,longa_metragem,english,USA,R,American Widescreen,Action
<4,longa_metragem,english,Canada,PG-13,Anamorphic Projection,Action
5,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,R,American Widescreen,Crime
8-10,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Crime
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Crime
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Action
6-7,longa_metragem,english,Czech Republic,R,Anamorphic Projection,Crime
6-7,longa_metragem,english,Canada,PG-13,Anamorphic Projection,Adventure
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Drama
6-7,longa_metragem,english,USA,PG-13,American Widescreen,Comedy
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Comedy
6-7,longa_metragem,english,USA,R,American Widescreen,Crime
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Adventure
6-7,longa_metragem,english,France,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,R,American Widescreen,Crime
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Comedy
6-7,longa_metragem,english,USA,PG,American Widescreen,Action
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Crime
6-7,longa_metragem,english,USA,PG-13,American Widescreen,Biography
<4,longa_metragem,english,USA,PG,American Widescreen,Adventure
5,longa_metragem,english,USA,R,American Widescreen,Drama
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Comedy
5,longa_metragem,english,USA,PG-13,Anamorphic Projection,Comedy
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Drama
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
<4,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,R,American Widescreen,Action
6-7,longa_metragem,english,USA,PG-13,American Widescreen,Comedy
<4,longa_metragem,english,USA,PG,Academy Capture,Comedy
6-7,longa_metragem,english,France,PG-13,Anamorphic Projection,Action
5,longa_metragem,english,USA,PG-13,American Widescreen,Comedy
6-7,longa_metragem,english,USA,PG-13,American Widescreen,Action
5,longa_metragem,english,USA,PG,American Widescreen,Action
5,longa_metragem,english,USA,G,American Widescreen,Comedy
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Crime
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Crime
6-7,longa_metragem,english,USA,PG-13,American Widescreen,Adventure
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Action
5,longa_metragem,english,Germany,PG-13,Anamorphic Projection,Comedy
8-10,longa_metragem,english,USA,R,American Widescreen,Crime
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Crime
6-7,longa_metragem,english,USA,PG,Anamorphic Projection,Adventure
5,longa_metragem,english,USA,R,American Widescreen,Comedy
6-7,longa_metragem,english,USA,PG,American Widescreen,Adventure
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Drama
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Drama
<4,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
5,longa_metragem,english,USA,PG-13,Anamorphic Projection,Comedy
6-7,longa_metragem,english,UK,R,Anamorphic Projection,Comedy
6-7,longa_metragem,english,USA,G,Anamorphic Projection,Adventure
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Horror
5,longa_metragem,english,Peru,R,American Widescreen,Action
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Comedy
5,longa_metragem,english,USA,PG,Anamorphic Projection,Comedy
6-7,longa_metragem,english,USA,PG,Anamorphic Projection,Adventure
<4,longa_metragem,english,USA,PG,Anamorphic Projection,Comedy
6-7,longa_metragem,english,France,R,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG-13,American Widescreen,Comedy
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Adventure
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
5,longa_metragem,english,USA,PG,American Widescreen,Drama
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Crime
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,UK,PG,American Widescreen,Action
5,longa_metragem,english,USA,PG,American Widescreen,Adventure
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Drama
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Drama
6-7,longa_metragem,english,Germany,PG-13,Anamorphic Projection,Action
5,longa_metragem,english,France,PG-13,Anamorphic Projection,Action
5,longa_metragem,english,USA,R,American Widescreen,Action
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Comedy
5,longa_metragem,english,USA,PG,American Widescreen,Adventure
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Crime
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Comedy
<4,longa_metragem,english,Australia,PG,Anamorphic Projection,Action
5,longa_metragem,english,USA,PG-13,Anamorphic Projection,Drama
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Biography
6-7,longa_metragem,english,France,PG-13,Anamorphic Projection,Mystery
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Action
6-7,longa_metragem,other,China,R,Anamorphic Projection,Drama
5,longa_metragem,english,USA,R,American Widescreen,Action
6-7,longa_metragem,english,USA,PG-13,American Widescreen,Comedy
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Drama
<4,longa_metragem,english,USA,R,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Biography
6-7,longa_metragem,english,USA,PG-13,American Widescreen,Action
5,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Crime
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Action
5,longa_metragem,english,USA,R,Anamorphic Projection,Drama
6-7,longa_metragem,english,USA,R,Early Widescreen,Animation
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Adventure
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Drama
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Drama
6-7,longa_metragem,english,USA,PG-13,Early Widescreen,Comedy
6-7,longa_metragem,english,France,R,Anamorphic Projection,Action
5,longa_metragem,english,USA,R,American Widescreen,Comedy
6-7,longa_metragem,english,USA,R,American Widescreen,Drama
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Drama
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Action
6-7,longa_metragem,english,UK,PG-13,Anamorphic Projection,Comedy
6-7,longa_metragem,english,UK,G,American Widescreen,Adventure
5,longa_metragem,english,USA,PG-13,American Widescreen,Comedy
5,longa_metragem,english,USA,R,American Widescreen,Comedy
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Action
6-7,longa_metragem,english,UK,R,70mm Frame,Biography
6-7,longa_metragem,english,USA,PG,American Widescreen,Action
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Crime
6-7,longa_metragem,english,USA,PG-13,American Widescreen,Comedy
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Drama
5,longa_metragem,english,USA,R,American Widescreen,Comedy
6-7,longa_metragem,english,UK,PG-13,Anamorphic Projection,Action
5,longa_metragem,english,USA,PG-13,Anamorphic Projection,Fantasy
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Action
<4,longa_metragem,english,UK,PG,American Widescreen,Adventure
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Crime
6-7,longa_metragem,other,China,PG-13,Anamorphic Projection,Action
5,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Comedy
6-7,longa_metragem,english,New Zealand,R,Anamorphic Projection,Action
6-7,longa_metragem,other,France,R,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Drama
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
5,longa_metragem,english,Hong Kong,PG-13,Anamorphic Projection,Action
8-10,longa_metragem,english,USA,PG-13,American Widescreen,Drama
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG,Anamorphic Projection,Comedy
6-7,longa_metragem,english,USA,PG,American Widescreen,Action
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Crime
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Comedy
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Crime
6-7,longa_metragem,english,USA,PG,American Widescreen,Adventure
6-7,longa_metragem,english,France,R,Anamorphic Projection,Action
<4,longa_metragem,english,USA,R,Anamorphic Projection,Drama
<4,longa_metragem,english,USA,PG,American Widescreen,Action
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Crime
5,longa_metragem,english,USA,PG,American Widescreen,Comedy
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG,Anamorphic Projection,Comedy
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Horror
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Biography
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Comedy
5,longa_metragem,english,USA,PG-13,American Widescreen,Comedy
5,longa_metragem,english,USA,R,Anamorphic Projection,Horror
6-7,longa_metragem,english,USA,PG,Early Widescreen,Adventure
6-7,longa_metragem,english,USA,R,American Widescreen,Comedy
6-7,longa_metragem,english,USA,R,American Widescreen,Fantasy
6-7,longa_metragem,english,USA,PG-13,American Widescreen,Biography
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Biography
6-7,longa_metragem,english,USA,R,American Widescreen,Crime
5,longa_metragem,english,USA,PG-13,American Widescreen,Comedy
6-7,longa_metragem,english,USA,PG,Anamorphic Projection,Adventure
6-7,longa_metragem,english,USA,PG-13,American Widescreen,Comedy
5,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG-13,American Widescreen,Biography
8-10,longa_metragem,english,USA,R,American Widescreen,Crime
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Crime
6-7,longa_metragem,english,USA,R,American Widescreen,Comedy
5,longa_metragem,english,USA,PG-13,American Widescreen,Comedy
8-10,longa_metragem,english,France,R,Anamorphic Projection,Drama
<4,longa_metragem,english,USA,PG-13,American Widescreen,Comedy
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Adventure
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Comedy
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Comedy
5,longa_metragem,english,USA,R,Anamorphic Projection,Horror
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Drama
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG-13,American Widescreen,Comedy
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
5,longa_metragem,english,USA,R,American Widescreen,Action
6-7,longa_metragem,english,UK,PG-13,American Widescreen,Action
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Crime
6-7,longa_metragem,english,UK,PG-13,Anamorphic Projection,Action
8-10,longa_metragem,english,USA,PG-13,Anamorphic Projection,Drama
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Comedy
5,longa_metragem,english,USA,PG,Anamorphic Projection,Adventure
6-7,longa_metragem,other,USA,R,American Widescreen,Action
6-7,longa_metragem,english,UK,PG,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Action
5,longa_metragem,english,USA,PG,Anamorphic Projection,Comedy
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Mystery
6-7,longa_metragem,english,USA,PG,Anamorphic Projection,Drama
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Horror
6-7,longa_metragem,english,USA,PG,American Widescreen,Comedy
5,longa_metragem,english,USA,PG-13,Anamorphic Projection,Comedy
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Biography
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Crime
5,longa_metragem,english,USA,R,American Widescreen,Horror
6-7,longa_metragem,english,USA,R,American Widescreen,Drama
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Adventure
<4,longa_metragem,english,USA,R,Anamorphic Projection,Action
5,longa_metragem,english,USA,PG,American Widescreen,Comedy
5,longa_metragem,english,USA,PG-13,American Widescreen,Drama
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Adventure
5,longa_metragem,english,USA,PG-13,Anamorphic Projection,Comedy
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Horror
6-7,longa_metragem,english,Germany,R,Anamorphic Projection,Mystery
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Biography
5,longa_metragem,english,USA,R,American Widescreen,Comedy
<4,longa_metragem,english,Germany,PG-13,American Widescreen,Comedy
5,longa_metragem,english,USA,R,Anamorphic Projection,Horror
5,longa_metragem,english,UK,PG-13,American Widescreen,Comedy
6-7,longa_metragem,english,USA,PG-13,American Widescreen,Drama
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Comedy
5,longa_metragem,english,USA,PG-13,Anamorphic Projection,Comedy
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Comedy
6-7,longa_metragem,english,USA,PG-13,American Widescreen,Action
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Adventure
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Comedy
5,longa_metragem,english,USA,R,Anamorphic Projection,Biography
5,longa_metragem,english,USA,R,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Drama
5,longa_metragem,english,USA,R,Anamorphic Projection,Crime
5,longa_metragem,english,USA,PG-13,American Widescreen,Comedy
<4,longa_metragem,english,USA,PG-13,Anamorphic Projection,Horror
<4,longa_metragem,english,Germany,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,UK,PG-13,American Widescreen,Biography
6-7,longa_metragem,english,USA,PG-13,American Widescreen,Drama
5,longa_metragem,english,USA,R,Anamorphic Projection,Horror
6-7,longa_metragem,english,USA,R,American Widescreen,Crime
6-7,longa_metragem,english,USA,PG-13,American Widescreen,Comedy
6-7,longa_metragem,english,France,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,G,American Widescreen,Adventure
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Crime
5,longa_metragem,english,USA,PG-13,American Widescreen,Drama
<4,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,R,American Widescreen,Drama
<4,longa_metragem,english,France,NC-17,Anamorphic Projection,Drama
6-7,longa_metragem,english,USA,PG-13,American Widescreen,Biography
5,longa_metragem,english,USA,R,American Widescreen,Action
5,longa_metragem,english,USA,R,Anamorphic Projection,Action
6-7,longa_metragem,english,Spain,PG-13,Anamorphic Projection,Drama
<4,longa_metragem,english,USA,PG-13,American Widescreen,Action
6-7,longa_metragem,english,USA,PG,American Widescreen,Adventure
5,longa_metragem,english,USA,PG-13,Anamorphic Projection,Comedy
5,longa_metragem,english,USA,PG-13,Anamorphic Projection,Comedy
8-10,longa_metragem,other,France,R,Anamorphic Projection,Comedy
<4,longa_metragem,english,USA,PG,American Widescreen,Comedy
6-7,longa_metragem,english,UK,R,American Widescreen,Comedy
6-7,longa_metragem,english,USA,PG,Anamorphic Projection,Biography
6-7,longa_metragem,english,USA,PG-13,American Widescreen,Drama
<4,longa_metragem,english,UK,R,Anamorphic Projection,Crime
5,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
5,longa_metragem,english,USA,PG-13,American Widescreen,Comedy
<4,longa_metragem,english,UK,PG,Anamorphic Projection,Action
<4,longa_metragem,english,USA,R,American Widescreen,Action
6-7,longa_metragem,english,Germany,R,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,R,American Widescreen,Drama
<4,longa_metragem,english,UK,PG-13,Anamorphic Projection,Action
5,longa_metragem,english,France,PG-13,Anamorphic Projection,Comedy
6-7,longa_metragem,english,UK,R,Anamorphic Projection,Adventure
5,longa_metragem,english,USA,PG-13,Anamorphic Projection,Comedy
<4,longa_metragem,english,USA,PG,American Widescreen,Adventure
5,longa_metragem,english,USA,R,Anamorphic Projection,Action
5,longa_metragem,english,Germany,PG,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG-13,American Widescreen,Drama
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Comedy
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Adventure
6-7,longa_metragem,english,UK,PG,American Widescreen,Comedy
6-7,longa_metragem,other,Hong Kong,R,Anamorphic Projection,Action
6-7,longa_metragem,other,France,R,Anamorphic Projection,Drama
6-7,longa_metragem,english,South Korea,R,American Widescreen,Action
6-7,longa_metragem,english,USA,R,American Widescreen,Action
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Drama
6-7,longa_metragem,english,USA,PG,American Widescreen,Animation
8-10,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
5,longa_metragem,english,USA,PG-13,Anamorphic Projection,Biography
<4,longa_metragem,english,UK,PG,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG-13,American Widescreen,Comedy
6-7,longa_metragem,other,China,R,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Comedy
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Comedy
5,longa_metragem,english,USA,PG,Anamorphic Projection,Comedy
5,longa_metragem,english,USA,PG,American Widescreen,Action
6-7,longa_metragem,english,USA,PG,Anamorphic Projection,Action
6-7,longa_metragem,other,Hong Kong,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Drama
6-7,longa_metragem,english,USA,R,American Widescreen,Biography
5,longa_metragem,english,USA,PG-13,Anamorphic Projection,Crime
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Comedy
<4,longa_metragem,english,USA,PG,American Widescreen,Action
5,longa_metragem,english,USA,R,American Widescreen,Drama
5,longa_metragem,english,USA,PG,American Widescreen,Comedy
6-7,longa_metragem,english,Spain,R,Anamorphic Projection,Mystery
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Crime
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Drama
6-7,longa_metragem,english,USA,R,American Widescreen,Drama
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Adventure
8-10,longa_metragem,english,USA,R,Anamorphic Projection,Horror
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Crime
5,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG,Anamorphic Projection,Adventure
6-7,longa_metragem,english,USA,R,American Widescreen,Drama
6-7,longa_metragem,english,USA,PG,Anamorphic Projection,Biography
5,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Drama
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Crime
5,longa_metragem,english,USA,PG-13,Anamorphic Projection,Comedy
6-7,longa_metragem,english,USA,R,American Widescreen,Comedy
6-7,longa_metragem,english,USA,PG,Anamorphic Projection,Adventure
8-10,longa_metragem,english,UK,R,Anamorphic Projection,Action
8-10,longa_metragem,english,USA,R,Anamorphic Projection,Drama
5,longa_metragem,english,USA,R,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Comedy
6-7,longa_metragem,english,USA,PG,American Widescreen,Drama
5,longa_metragem,english,USA,PG-13,Anamorphic Projection,Drama
6-7,longa_metragem,english,USA,PG-13,American Widescreen,Crime
6-7,longa_metragem,english,USA,PG-13,American Widescreen,Action
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Comedy
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Action
6-7,longa_metragem,english,UK,PG,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,R,American Widescreen,Comedy
6-7,longa_metragem,english,USA,PG,American Widescreen,Drama
5,longa_metragem,english,USA,R,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Action
5,longa_metragem,english,USA,PG-13,American Widescreen,Comedy
6-7,longa_metragem,english,USA,PG-13,American Widescreen,Drama
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Drama
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Drama
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Drama
5,longa_metragem,english,USA,R,American Widescreen,Biography
<4,longa_metragem,english,USA,G,Anamorphic Projection,Adventure
5,longa_metragem,english,USA,PG-13,American Widescreen,Comedy
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Comedy
6-7,longa_metragem,other,Hong Kong,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG-13,American Widescreen,Action
5,longa_metragem,english,Spain,PG-13,Anamorphic Projection,Biography
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG-13,American Widescreen,Biography
5,longa_metragem,english,USA,PG,American Widescreen,Action
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Comedy
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Adventure
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Comedy
6-7,longa_metragem,english,USA,PG,Anamorphic Projection,Adventure
5,longa_metragem,english,USA,R,Anamorphic Projection,Comedy
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Crime
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Crime
6-7,longa_metragem,english,Japan,R,Anamorphic Projection,Comedy
5,longa_metragem,english,USA,PG-13,American Widescreen,Comedy
6-7,longa_metragem,english,USA,R,American Widescreen,Drama
8-10,longa_metragem,english,USA,R,Anamorphic Projection,Crime
6-7,longa_metragem,english,USA,PG,Anamorphic Projection,Adventure
6-7,longa_metragem,english,USA,PG-13,American Widescreen,Comedy
5,longa_metragem,english,USA,R,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,NC-17,American Widescreen,Horror
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Horror
6-7,longa_metragem,english,USA,PG-13,American Widescreen,Action
6-7,longa_metragem,english,USA,PG,Anamorphic Projection,Biography
6-7,longa_metragem,english,Hong Kong,PG,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG,American Widescreen,Biography
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Comedy
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Comedy
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Biography
6-7,longa_metragem,english,USA,PG-13,American Widescreen,Biography
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Comedy
5,longa_metragem,english,USA,PG,American Widescreen,Comedy
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Action
5,longa_metragem,english,USA,PG-13,Anamorphic Projection,Comedy
5,longa_metragem,english,USA,PG-13,American Widescreen,Comedy
5,longa_metragem,english,USA,PG-13,Anamorphic Projection,Comedy
6-7,longa_metragem,english,USA,R,Anamorphic Projection,Biography
6-7,longa_metragem,english,UK,R,American Widescreen,Action
6-7,longa_metragem,english,USA,PG,Anamorphic Projection,Fantasy
6-7,longa_metragem,english,USA,R,American Widescreen,Comedy
5,longa_metragem,english,Canada,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
5,longa_metragem,english,USA,PG-13,Anamorphic Projection,Comedy
5,longa_metragem,english,USA,PG-13,American Widescreen,Comedy
<4,longa_metragem,english,USA,PG-13,Anamorphic Projection,Adventure
